,Weights of regression,Bias of regression,Graph_index
25,"[-0.12462353  0.25383177  0.2535625   0.25354367  0.25363955  0.2536039
  0.25264293 -0.11707526  0.25263762 -0.11687475 -0.11707553  0.2518769
 -0.11749981  0.25144657 -0.11688951  0.25159714 -0.11756163 -0.11941721
 -0.12449197 -0.12458237 -0.11827428 -0.11703302 -0.11874436 -0.1187168
 -0.11704767]",0.019832432,525
26,"[ 0.11944638  0.02102086 -0.06653687 -0.06647517 -0.06649883 -0.06651764
 -0.0665189  -0.06652826 -0.066525   -0.06649581 -0.06653588 -0.06651309
 -0.0665251  -0.06650536 -0.06652282 -0.06651695 -0.06651944 -0.06649418
 -0.06651467 -0.06652659  0.4195435   0.42031184  0.35318935  0.41267133
  0.41932383]",0.019827604,530
27,"[0.00115467 0.0002866  0.00030746 0.00026175 0.00027093 0.00030749
 0.00026118 0.0003075  0.00026095 0.00027099 0.0002658  0.0002658
 0.00030744 0.0003075  0.00028723 0.00028715 0.00021964 0.00028257
 0.00030751 0.00028719 0.00044072 0.00027954 0.00038481 0.00038479
 0.00027959]",0.98012793,535
28,"[ 0.1207793   0.02142981 -0.06670853 -0.06664804 -0.06671339 -0.06662894
 -0.06664991 -0.06672649 -0.06665584 -0.06670915 -0.06663622 -0.06670545
 -0.0666389  -0.066666   -0.06665504 -0.06664293 -0.06662542 -0.06662829
 -0.0666494  -0.06663883  0.42019042  0.42018858  0.35364214  0.4128047
  0.41897428]",0.019827604,540
29,"[ 0.11872602 -0.06623175 -0.06625398 -0.06622729 -0.06620736 -0.06621763
 -0.06623385 -0.06622183 -0.06624243 -0.0662376  -0.06623957 -0.06620856
 -0.06623129 -0.06622364 -0.06620844 -0.06624547 -0.06624743 -0.06623185
 -0.0662291  -0.06625273  0.42210913  0.42209774  0.42273664  0.4220994
  0.42282325]",0.019827694,545
30,"[-0.04059509 -0.04058446 -0.04051241 -0.04046131 -0.04049153 -0.04047707
 -0.04047265 -0.04049521 -0.04049135 -0.04048498 -0.04048772 -0.04046632
 -0.04049587 -0.04045614 -0.0404451  -0.04047948 -0.04048255 -0.04049744
 -0.04044721 -0.04060674  0.4434653   0.44444183  0.44560137  0.44335276]",0.019827336,550
31,"[ 0.11947709  0.02088101 -0.06647934 -0.06648292 -0.06647497 -0.06647884
 -0.06649545 -0.06649686 -0.06647466 -0.06648776 -0.06647242 -0.06648965
 -0.06652082 -0.06648394 -0.06646953 -0.06651212 -0.06649628 -0.06650795
 -0.06649009 -0.06650104  0.41975862  0.42035195  0.35259306  0.41276315
  0.41921481]",0.019827545,555
32,"[ 0.12134726 -0.06610208 -0.0659791  -0.06607869 -0.06612095 -0.0660997
 -0.06475894 -0.06609377 -0.0647777  -0.06613734 -0.06612688 -0.06611358
 -0.0661144  -0.06610395 -0.06607904 -0.06609987 -0.06611019 -0.06612466
 -0.06611504 -0.0661252   0.42072085  0.4206549   0.42100182  0.4204
  0.4211961 ]",0.019827664,560
33,"[0.00088189 0.00028855 0.00019099 0.00029428 0.00018135 0.00019104
 0.000191   0.00023526 0.00019101 0.00029426 0.00019295 0.00019136
 0.00018189 0.00023579 0.0001926  0.00021485 0.00019252 0.0001913
 0.00029429 0.00019253 0.00101711 0.00021695 0.00091807 0.00091816
 0.00021701]",0.9801279,565
34,"[ 0.12081941 -0.05487095 -0.06680281 -0.06678605 -0.06678434 -0.06679751
 -0.06683937 -0.06678392 -0.06677495 -0.06678256 -0.0667928  -0.06678413
 -0.06679809 -0.06680579 -0.06516564 -0.06678034 -0.06677888 -0.0667825
 -0.06679247 -0.06683081  0.420977    0.42097408  0.42128503  0.42117813
  0.42163244]",0.019827574,570
35,"[0.00070291 0.00013826 0.00017082 0.0005043  0.00020716 0.00027577
 0.00025749 0.00031136 0.00025788 0.00027168 0.00022843 0.00045407
 0.00027165 0.00022424 0.00023554 0.00023591 0.00045398 0.00027089
 0.00050421 0.00027168 0.00044157 0.00028393 0.0003967  0.00039654
 0.00028401]",0.9801278,575
